task_type,Technique,block_type,random_seed,Kendall Tau
logic8,SmoothGrad(GradInput),mpnn,48,-0.33333333333333337
logic8,GradCAM-last,mpnn,48,0.6000000000000001
logic8,GradCAM-all,mpnn,48,0.5428571428571429
logic8,CAM,mpnn,48,0.9047619047619049
logic8,IG,mpnn,48,0.7142857142857143
logic8,GradInput,mpnn,49,0.23809523809523814
logic8,SmoothGrad(GradInput),mpnn,49,0.6952380952380953
logic8,GradCAM-last,mpnn,49,0.5238095238095238
logic8,GradCAM-all,mpnn,49,0.561904761904762
logic8,CAM,mpnn,49,0.7714285714285715
logic8,IG,mpnn,49,0.4666666666666667
logic10,GradInput,mpnn,43,0.29523809523809524
logic10,SmoothGrad(GradInput),mpnn,43,0.2761904761904762
logic10,GradCAM-last,mpnn,43,0.5047619047619049
logic10,GradCAM-all,mpnn,43,0.4476190476190477
logic10,CAM,mpnn,43,0.8476190476190477
logic10,IG,mpnn,43,0.4666666666666667
logic10,GradInput,mpnn,44,0.028571428571428574
logic10,SmoothGrad(GradInput),mpnn,44,0.3142857142857143
logic10,GradCAM-last,mpnn,44,0.6380952380952382
logic10,GradCAM-all,mpnn,44,0.37142857142857144
logic10,CAM,mpnn,44,0.6000000000000001
logic10,IG,mpnn,44,0.1619047619047619
logic10,GradInput,mpnn,45,0.21904761904761905
logic10,SmoothGrad(GradInput),mpnn,45,0.06666666666666668
logic10,GradCAM-last,mpnn,45,0.6571428571428571
logic10,GradCAM-all,mpnn,45,0.3523809523809524
logic10,CAM,mpnn,45,0.6190476190476191
logic10,IG,mpnn,45,0.04761904761904762
logic10,GradInput,mpnn,46,0.028571428571428574
logic10,SmoothGrad(GradInput),mpnn,46,-0.10476190476190476
logic10,GradCAM-last,mpnn,46,-0.14285714285714288
logic10,GradCAM-all,mpnn,46,-0.3142857142857143
logic10,CAM,mpnn,46,0.6000000000000001
logic10,IG,mpnn,46,0.5238095238095238
logic10,GradInput,mpnn,47,0.33333333333333337
logic10,SmoothGrad(GradInput),mpnn,47,0.2761904761904762
logic10,GradCAM-last,mpnn,47,0.2571428571428572
logic10,GradCAM-all,mpnn,47,0.028571428571428574
logic10,CAM,mpnn,47,0.6952380952380953
logic10,IG,mpnn,47,0.2571428571428572
logic10,GradInput,mpnn,48,0.1619047619047619
logic10,SmoothGrad(GradInput),mpnn,48,0.23809523809523814
logic10,GradCAM-last,mpnn,48,0.7904761904761906
logic10,GradCAM-all,mpnn,48,0.561904761904762
logic10,CAM,mpnn,48,0.8476190476190477
logic10,IG,mpnn,48,0.18095238095238098
logic10,GradInput,mpnn,49,0.4285714285714286
logic10,SmoothGrad(GradInput),mpnn,49,0.4476190476190477
logic10,GradCAM-last,mpnn,49,0.3904761904761905
logic10,GradCAM-all,mpnn,49,0.29523809523809524
logic10,CAM,mpnn,49,0.4476190476190477
logic10,IG,mpnn,49,0.12380952380952381
benzene,Random,gat,42,0.2571428571428572
benzene,GradInput,gat,42,0.04761904761904762
benzene,SmoothGrad(GradInput),gat,42,-0.028571428571428574
benzene,GradCAM-last,gat,42,0.580952380952381
benzene,GradCAM-all,gat,42,0.48571428571428577
benzene,IG,gat,42,0.5428571428571429
benzene,CAM,gat,42,0.8666666666666667
benzene,AttWeights,gat,42,0.10476190476190476
benzene,Random,gat,43,-0.06666666666666668
benzene,GradInput,gat,43,-0.06666666666666668
benzene,SmoothGrad(GradInput),gat,43,-0.2571428571428572
benzene,GradCAM-last,gat,43,0.4666666666666667
benzene,GradCAM-all,gat,43,0.21904761904761905
benzene,IG,gat,43,0.580952380952381
benzene,CAM,gat,43,0.8666666666666667
benzene,AttWeights,gat,43,-0.12380952380952381
benzene,Random,gat,44,0.04761904761904762
benzene,GradInput,gat,44,-0.028571428571428574
benzene,SmoothGrad(GradInput),gat,44,-0.08571428571428572
benzene,GradCAM-last,gat,44,0.23809523809523814
benzene,GradCAM-all,gat,44,0.2571428571428572
benzene,IG,gat,44,0.6761904761904762
benzene,CAM,gat,44,0.8095238095238096
benzene,AttWeights,gat,44,-0.3904761904761905
benzene,Random,gat,45,0.04761904761904762
benzene,GradInput,gat,45,0.10476190476190476
benzene,SmoothGrad(GradInput),gat,45,-0.06666666666666668
benzene,GradCAM-last,gat,45,0.3142857142857143
benzene,GradCAM-all,gat,45,0.21904761904761905
benzene,IG,gat,45,0.5428571428571429
benzene,CAM,gat,45,0.9428571428571428
benzene,AttWeights,gat,45,0.028571428571428574
benzene,Random,gat,46,-0.06666666666666668
benzene,GradInput,gat,46,-0.23809523809523814
benzene,SmoothGrad(GradInput),gat,46,-0.08571428571428572
benzene,GradCAM-last,gat,46,0.5428571428571429
benzene,GradCAM-all,gat,46,0.21904761904761905
benzene,IG,gat,46,0.580952380952381
benzene,CAM,gat,46,0.8476190476190477
benzene,AttWeights,gat,46,0.08571428571428572
benzene,Random,gat,47,-0.028571428571428574
benzene,GradInput,gat,47,0.14285714285714288
benzene,SmoothGrad(GradInput),gat,47,0.12380952380952381
benzene,GradCAM-last,gat,47,0.561904761904762
benzene,GradCAM-all,gat,47,0.4476190476190477
benzene,IG,gat,47,0.6761904761904762
benzene,CAM,gat,47,0.9428571428571428
benzene,AttWeights,gat,47,-0.009523809523809525
benzene,Random,gat,48,0.4285714285714286
benzene,GradInput,gat,48,0.06666666666666668
benzene,SmoothGrad(GradInput),gat,48,-0.06666666666666668
benzene,GradCAM-last,gat,48,0.561904761904762
benzene,GradCAM-all,gat,48,0.3523809523809524
benzene,IG,gat,48,0.3904761904761905
benzene,CAM,gat,48,0.7142857142857143
benzene,AttWeights,gat,48,-0.08571428571428572
benzene,Random,gat,49,-0.08571428571428572
benzene,GradInput,gat,49,0.3142857142857143
benzene,SmoothGrad(GradInput),gat,49,0.06666666666666668
benzene,GradCAM-last,gat,49,0.4476190476190477
benzene,GradCAM-all,gat,49,0.3904761904761905
benzene,IG,gat,49,0.4476190476190477
benzene,CAM,gat,49,0.7904761904761906
benzene,AttWeights,gat,49,0.33333333333333337
logic10,Random,gat,42,-0.29523809523809524
logic10,GradInput,gat,42,-0.21904761904761905
logic10,SmoothGrad(GradInput),gat,42,-0.23809523809523814
logic10,GradCAM-last,gat,42,0.06666666666666668
logic10,GradCAM-all,gat,42,-0.12380952380952381
logic10,IG,gat,42,0.10476190476190476
logic10,CAM,gat,42,0.6571428571428571
logic10,AttWeights,gat,42,-0.1619047619047619
logic10,Random,gat,43,0.23809523809523814
logic10,GradInput,gat,43,-0.20000000000000004
logic10,SmoothGrad(GradInput),gat,43,-0.18095238095238098
logic10,GradCAM-last,gat,43,0.18095238095238098
logic10,GradCAM-all,gat,43,-0.028571428571428574
logic10,IG,gat,43,0.06666666666666668
logic10,CAM,gat,43,0.6571428571428571
logic10,AttWeights,gat,43,0.06666666666666668
logic10,Random,gat,44,0.028571428571428574
logic10,GradInput,gat,44,-0.3523809523809524
logic10,SmoothGrad(GradInput),gat,44,-0.20000000000000004
logic10,GradCAM-last,gat,44,-0.04761904761904762
logic10,GradCAM-all,gat,44,-0.40952380952380957
logic10,IG,gat,44,0.4666666666666667
logic10,CAM,gat,44,0.6000000000000001
logic10,AttWeights,gat,44,0.21904761904761905
logic10,Random,gat,45,-0.12380952380952381
logic10,GradInput,gat,45,0.12380952380952381
logic10,SmoothGrad(GradInput),gat,45,-0.12380952380952381
logic10,GradCAM-last,gat,45,-0.12380952380952381
logic10,GradCAM-all,gat,45,0.10476190476190476
logic10,IG,gat,45,0.21904761904761905
logic10,CAM,gat,45,0.580952380952381
logic10,AttWeights,gat,45,-0.028571428571428574
logic10,Random,gat,46,0.009523809523809525
logic10,GradInput,gat,46,-0.18095238095238098
logic10,SmoothGrad(GradInput),gat,46,-0.40952380952380957
logic10,GradCAM-last,gat,46,0.3904761904761905
logic10,GradCAM-all,gat,46,-0.04761904761904762
logic10,IG,gat,46,-0.20000000000000004
logic10,CAM,gat,46,0.561904761904762
logic10,AttWeights,gat,46,0.18095238095238098
logic10,Random,gat,47,-0.18095238095238098
logic10,GradInput,gat,47,-0.14285714285714288
logic10,SmoothGrad(GradInput),gat,47,-0.4476190476190477
logic10,GradCAM-last,gat,47,-0.028571428571428574
logic10,GradCAM-all,gat,47,-0.1619047619047619
logic10,IG,gat,47,0.23809523809523814
logic10,CAM,gat,47,0.580952380952381
logic10,AttWeights,gat,47,-0.08571428571428572
logic10,Random,gat,48,-0.1619047619047619
logic10,GradInput,gat,48,-0.4285714285714286
logic10,SmoothGrad(GradInput),gat,48,-0.29523809523809524
logic10,GradCAM-last,gat,48,0.009523809523809525
logic10,GradCAM-all,gat,48,-0.18095238095238098
logic10,IG,gat,48,0.6000000000000001
logic10,CAM,gat,48,0.7714285714285715
logic10,AttWeights,gat,48,0.10476190476190476
logic10,Random,gat,49,0.20000000000000004
logic10,GradInput,gat,49,-0.48571428571428577
logic10,SmoothGrad(GradInput),gat,49,-0.561904761904762
logic10,GradCAM-last,gat,49,0.21904761904761905
logic10,GradCAM-all,gat,49,-0.2761904761904762
logic10,IG,gat,49,0.06666666666666668
logic10,CAM,gat,49,0.6000000000000001
logic10,AttWeights,gat,49,-0.2761904761904762
logic7,Random,gat,42,-0.18095238095238098
logic7,GradInput,gat,42,-0.2571428571428572
logic7,SmoothGrad(GradInput),gat,42,-0.06666666666666668
logic7,GradCAM-last,gat,42,-0.028571428571428574
logic7,GradCAM-all,gat,42,-0.14285714285714288
logic7,IG,gat,42,0.2761904761904762
logic7,CAM,gat,42,0.12380952380952381
logic7,AttWeights,gat,42,-0.009523809523809525
logic7,Random,gat,43,-0.06666666666666668
logic7,GradInput,gat,43,-0.009523809523809525
logic7,SmoothGrad(GradInput),gat,43,-0.04761904761904762
logic7,GradCAM-last,gat,43,0.29523809523809524
logic7,GradCAM-all,gat,43,0.23809523809523814
logic7,IG,gat,43,0.009523809523809525
logic7,CAM,gat,43,0.3523809523809524
logic7,AttWeights,gat,43,0.12380952380952381
logic7,Random,gat,44,0.13397282541141675
logic7,GradInput,gat,44,0.028571428571428574
logic7,SmoothGrad(GradInput),gat,44,-0.028571428571428574
logic7,GradCAM-last,gat,44,0.3142857142857143
logic7,GradCAM-all,gat,44,0.29523809523809524
logic7,IG,gat,44,0.33333333333333337
logic7,CAM,gat,44,0.028571428571428574
logic7,AttWeights,gat,44,0.06666666666666668
logic7,Random,gat,45,0.04761904761904762
logic7,GradInput,gat,45,0.18095238095238098
logic7,SmoothGrad(GradInput),gat,45,0.18095238095238098
logic7,GradCAM-last,gat,45,0.29523809523809524
logic7,GradCAM-all,gat,45,0.10476190476190476
logic7,IG,gat,45,0.40952380952380957
logic7,CAM,gat,45,0.1619047619047619
logic7,AttWeights,gat,45,0.12380952380952381
logic7,Random,gat,46,-0.1619047619047619
logic7,GradInput,gat,46,-0.21904761904761905
logic7,SmoothGrad(GradInput),gat,46,-0.1619047619047619
logic7,GradCAM-last,gat,46,0.06666666666666668
logic7,GradCAM-all,gat,46,-0.10476190476190476
logic7,IG,gat,46,0.10476190476190476
logic7,CAM,gat,46,0.37142857142857144
logic7,AttWeights,gat,46,0.08571428571428572
logic7,Random,gat,47,0.07655590023509529
logic7,GradInput,gat,47,-0.3904761904761905
logic7,SmoothGrad(GradInput),gat,47,-0.18095238095238098
logic7,GradCAM-last,gat,47,0.21904761904761905
logic7,GradCAM-all,gat,47,0.18095238095238098
logic7,IG,gat,47,0.4666666666666667
logic7,CAM,gat,47,0.3904761904761905
logic7,AttWeights,gat,47,-0.3904761904761905
logic7,Random,gat,48,-0.1619047619047619
logic7,GradInput,gat,48,0.12380952380952381
logic7,SmoothGrad(GradInput),gat,48,0.12380952380952381
logic7,GradCAM-last,gat,48,0.3523809523809524
logic7,GradCAM-all,gat,48,0.1619047619047619
logic7,IG,gat,48,0.23809523809523814
logic7,CAM,gat,48,0.580952380952381
logic7,AttWeights,gat,48,0.08571428571428572
logic7,Random,gat,49,0.2761904761904762
logic7,GradInput,gat,49,0.33333333333333337
logic7,SmoothGrad(GradInput),gat,49,0.580952380952381
logic7,GradCAM-last,gat,49,0.4476190476190477
logic7,GradCAM-all,gat,49,0.1619047619047619
logic7,IG,gat,49,0.10476190476190476
logic7,CAM,gat,49,0.5047619047619049
logic7,AttWeights,gat,49,-0.06666666666666668
logic8,Random,gat,42,0.1619047619047619
logic8,GradInput,gat,42,-0.6190476190476191
logic8,SmoothGrad(GradInput),gat,42,-0.6571428571428571
logic8,GradCAM-last,gat,42,0.12380952380952381
logic8,GradCAM-all,gat,42,-0.04761904761904762
logic8,IG,gat,42,0.580952380952381
logic8,CAM,gat,42,0.8857142857142857
logic8,AttWeights,gat,42,0.04761904761904762
logic8,Random,gat,43,-0.028571428571428574
logic8,GradInput,gat,43,-0.10476190476190476
logic8,SmoothGrad(GradInput),gat,43,-0.561904761904762
logic8,GradCAM-last,gat,43,0.5428571428571429
logic8,GradCAM-all,gat,43,0.23809523809523814
logic8,IG,gat,43,0.2761904761904762
logic8,CAM,gat,43,0.8095238095238096
logic8,AttWeights,gat,43,0.2571428571428572
logic8,Random,gat,44,-0.21904761904761905
logic8,GradInput,gat,44,-0.3904761904761905
logic8,SmoothGrad(GradInput),gat,44,-0.5428571428571429
logic8,GradCAM-last,gat,44,0.3904761904761905
logic8,GradCAM-all,gat,44,0.04761904761904762
logic8,IG,gat,44,0.23809523809523814
logic8,CAM,gat,44,0.7333333333333334
logic8,AttWeights,gat,44,0.14285714285714288
logic8,Random,gat,45,0.14285714285714288
logic8,GradInput,gat,45,-0.6761904761904762
logic8,SmoothGrad(GradInput),gat,45,-0.7904761904761906
logic8,GradCAM-last,gat,45,-0.3523809523809524
logic8,GradCAM-all,gat,45,-0.561904761904762
logic8,IG,gat,45,0.6952380952380953
logic8,CAM,gat,45,0.7714285714285715
logic8,AttWeights,gat,45,0.23809523809523814
logic8,Random,gat,46,0.04761904761904762
logic8,GradInput,gat,46,-0.2571428571428572
logic8,SmoothGrad(GradInput),gat,46,-0.4285714285714286
logic8,GradCAM-last,gat,46,0.2571428571428572
logic8,GradCAM-all,gat,46,-0.08571428571428572
logic8,IG,gat,46,0.7904761904761906
logic8,CAM,gat,46,0.8666666666666667
logic8,AttWeights,gat,46,-0.08571428571428572
logic8,Random,gat,47,-0.07655590023509529
logic8,GradInput,gat,47,-0.5428571428571429
logic8,SmoothGrad(GradInput),gat,47,-0.6571428571428571
logic8,GradCAM-last,gat,47,0.18095238095238098
logic8,GradCAM-all,gat,47,-0.08571428571428572
logic8,IG,gat,47,0.3142857142857143
logic8,CAM,gat,47,0.9047619047619049
logic8,AttWeights,gat,47,-0.08571428571428572
logic8,Random,gat,48,0.1619047619047619
logic8,GradInput,gat,48,-0.2761904761904762
logic8,SmoothGrad(GradInput),gat,48,-0.4285714285714286
logic8,GradCAM-last,gat,48,0.580952380952381
logic8,GradCAM-all,gat,48,0.1619047619047619
logic8,IG,gat,48,0.3904761904761905
logic8,CAM,gat,48,0.8095238095238096
logic8,AttWeights,gat,48,0.1619047619047619
logic8,Random,gat,49,-0.04761904761904762
logic8,GradInput,gat,49,-0.4476190476190477
logic8,SmoothGrad(GradInput),gat,49,-0.561904761904762
logic8,GradCAM-last,gat,49,0.08571428571428572
logic8,GradCAM-all,gat,49,-0.20000000000000004
logic8,IG,gat,49,-0.20000000000000004
logic8,CAM,gat,49,0.7714285714285715
logic8,AttWeights,gat,49,0.2571428571428572
crippen,CAM,gcn,42,0.6919540229885057
crippen,GradInput,gcn,42,0.37931034482758624
crippen,GradCAM-last,gcn,42,0.5264367816091954
crippen,GradCAM-all,gcn,42,0.5770114942528736
crippen,SmoothGrad(GradInput),gcn,42,0.4574712643678161
crippen,IG,gcn,42,0.5816091954022989
crippen,CAM,graphnet,42,0.4988505747126437
crippen,GradInput,graphnet,42,0.15862068965517243
crippen,GradCAM-last,graphnet,42,0.4666666666666667
crippen,GradCAM-all,graphnet,42,0.6459770114942529
crippen,SmoothGrad(GradInput),graphnet,42,0.08045977011494253
crippen,IG,graphnet,42,0.5080459770114942
crippen,CAM,mpnn,42,0.7471264367816092
crippen,GradInput,mpnn,42,0.33333333333333337
crippen,GradCAM-last,mpnn,42,0.7563218390804598
crippen,GradCAM-all,mpnn,42,0.5586206896551724
crippen,SmoothGrad(GradInput),mpnn,42,0.40229885057471265
crippen,IG,mpnn,42,0.3885057471264368
crippen,GradInput,gcn,43,0.12380952380952381
crippen,SmoothGrad(GradInput),gcn,43,0.3142857142857143
crippen,GradCAM-last,gcn,43,-0.18095238095238098
crippen,GradCAM-all,gcn,43,0.009523809523809525
crippen,CAM,gcn,43,0.3904761904761905
crippen,IG,gcn,43,0.23809523809523814
crippen,GradInput,gcn,44,0.4476190476190477
crippen,SmoothGrad(GradInput),gcn,44,0.4666666666666667
crippen,GradCAM-last,gcn,44,-0.21904761904761905
crippen,GradCAM-all,gcn,44,-0.009523809523809525
crippen,CAM,gcn,44,0.580952380952381
crippen,IG,gcn,44,0.6571428571428571
crippen,GradInput,gcn,45,0.3523809523809524
crippen,SmoothGrad(GradInput),gcn,45,0.3523809523809524
crippen,GradCAM-last,gcn,45,0.12380952380952381
crippen,GradCAM-all,gcn,45,0.2761904761904762
crippen,CAM,gcn,45,0.6380952380952382
crippen,IG,gcn,45,0.580952380952381
crippen,GradInput,gcn,46,0.33333333333333337
crippen,SmoothGrad(GradInput),gcn,46,0.23809523809523814
crippen,GradCAM-last,gcn,46,0.009523809523809525
crippen,GradCAM-all,gcn,46,0.08571428571428572
crippen,CAM,gcn,46,0.5047619047619049
crippen,IG,gcn,46,0.5238095238095238
crippen,GradInput,gcn,47,0.6380952380952382
crippen,SmoothGrad(GradInput),gcn,47,0.6380952380952382
crippen,GradCAM-last,gcn,47,-0.29523809523809524
crippen,GradCAM-all,gcn,47,0.06666666666666668
crippen,CAM,gcn,47,0.6000000000000001
crippen,IG,gcn,47,0.5238095238095238
crippen,GradInput,gcn,48,0.21904761904761905
crippen,SmoothGrad(GradInput),gcn,48,0.2571428571428572
crippen,GradCAM-last,gcn,48,0.18095238095238098
crippen,GradCAM-all,gcn,48,0.14285714285714288
crippen,CAM,gcn,48,0.5428571428571429
crippen,IG,gcn,48,0.4285714285714286
crippen,GradInput,gcn,49,0.37142857142857144
crippen,SmoothGrad(GradInput),gcn,49,0.3904761904761905
crippen,GradCAM-last,gcn,49,0.21904761904761905
crippen,GradCAM-all,gcn,49,0.12380952380952381
crippen,CAM,gcn,49,0.5238095238095238
crippen,IG,gcn,49,0.20000000000000004
crippen,GradInput,graphnet,43,0.14285714285714288
crippen,SmoothGrad(GradInput),graphnet,43,0.2761904761904762
crippen,GradCAM-last,graphnet,43,0.3142857142857143
crippen,GradCAM-all,graphnet,43,0.6761904761904762
crippen,CAM,graphnet,43,0.3142857142857143
crippen,IG,graphnet,43,0.3523809523809524
crippen,GradInput,graphnet,44,0.6380952380952382
crippen,SmoothGrad(GradInput),graphnet,44,0.580952380952381
crippen,GradCAM-last,graphnet,44,0.18095238095238098
crippen,GradCAM-all,graphnet,44,0.5047619047619049
crippen,CAM,graphnet,44,0.7142857142857143
crippen,IG,graphnet,44,0.561904761904762
crippen,GradInput,graphnet,45,0.4666666666666667
crippen,SmoothGrad(GradInput),graphnet,45,0.37142857142857144
crippen,GradCAM-last,graphnet,45,0.4476190476190477
crippen,GradCAM-all,graphnet,45,0.6571428571428571
crippen,CAM,graphnet,45,0.5428571428571429
crippen,IG,graphnet,45,0.40952380952380957
crippen,GradInput,graphnet,46,-0.08571428571428572
crippen,SmoothGrad(GradInput),graphnet,46,0.08571428571428572
crippen,GradCAM-last,graphnet,46,0.21904761904761905
crippen,GradCAM-all,graphnet,46,0.3904761904761905
crippen,CAM,graphnet,46,0.1619047619047619
crippen,IG,graphnet,46,0.37142857142857144
crippen,GradInput,graphnet,47,0.3904761904761905
crippen,SmoothGrad(GradInput),graphnet,47,0.18095238095238098
crippen,GradCAM-last,graphnet,47,0.5428571428571429
crippen,GradCAM-all,graphnet,47,0.7714285714285715
crippen,CAM,graphnet,47,0.5047619047619049
crippen,IG,graphnet,47,0.3142857142857143
crippen,GradInput,graphnet,48,0.10476190476190476
crippen,SmoothGrad(GradInput),graphnet,48,0.12380952380952381
crippen,GradCAM-last,graphnet,48,0.561904761904762
crippen,GradCAM-all,graphnet,48,0.4666666666666667
crippen,CAM,graphnet,48,0.4666666666666667
crippen,IG,graphnet,48,0.3904761904761905
crippen,GradInput,graphnet,49,0.18095238095238098
crippen,SmoothGrad(GradInput),graphnet,49,0.18095238095238098
crippen,GradCAM-last,graphnet,49,-0.009523809523809525
crippen,GradCAM-all,graphnet,49,0.3142857142857143
crippen,CAM,graphnet,49,0.10476190476190476
crippen,IG,graphnet,49,0.14285714285714288
crippen,GradInput,mpnn,43,-0.1619047619047619
crippen,SmoothGrad(GradInput),mpnn,43,-0.5047619047619049
crippen,GradCAM-last,mpnn,43,0.7142857142857143
crippen,GradCAM-all,mpnn,43,0.40952380952380957
crippen,CAM,mpnn,43,0.7142857142857143
crippen,IG,mpnn,43,0.3523809523809524
crippen,GradInput,mpnn,44,-0.5047619047619049
crippen,SmoothGrad(GradInput),mpnn,44,-0.14285714285714288
crippen,GradCAM-last,mpnn,44,0.6190476190476191
crippen,GradCAM-all,mpnn,44,0.6380952380952382
crippen,CAM,mpnn,44,0.6952380952380953
crippen,IG,mpnn,44,0.3523809523809524
crippen,GradInput,mpnn,45,0.33333333333333337
crippen,SmoothGrad(GradInput),mpnn,45,0.37142857142857144
crippen,GradCAM-last,mpnn,45,0.6571428571428571
crippen,GradCAM-all,mpnn,45,0.4666666666666667
crippen,CAM,mpnn,45,0.6952380952380953
crippen,IG,mpnn,45,0.5428571428571429
crippen,GradInput,mpnn,46,-0.23809523809523814
crippen,SmoothGrad(GradInput),mpnn,46,-0.08571428571428572
crippen,GradCAM-last,mpnn,46,0.561904761904762
crippen,GradCAM-all,mpnn,46,0.4285714285714286
crippen,CAM,mpnn,46,0.6952380952380953
crippen,IG,mpnn,46,0.29523809523809524
crippen,GradInput,mpnn,47,-0.2761904761904762
crippen,SmoothGrad(GradInput),mpnn,47,0.08571428571428572
crippen,GradCAM-last,mpnn,47,0.3523809523809524
crippen,GradCAM-all,mpnn,47,0.2761904761904762
crippen,CAM,mpnn,47,0.40952380952380957
crippen,IG,mpnn,47,0.48571428571428577
crippen,GradInput,mpnn,48,0.028571428571428574
crippen,SmoothGrad(GradInput),mpnn,48,-0.06666666666666668
crippen,GradCAM-last,mpnn,48,0.6571428571428571
crippen,GradCAM-all,mpnn,48,0.4476190476190477
crippen,CAM,mpnn,48,0.7333333333333334
crippen,IG,mpnn,48,0.20000000000000004
crippen,GradInput,mpnn,49,0.06666666666666668
crippen,SmoothGrad(GradInput),mpnn,49,0.12380952380952381
crippen,GradCAM-last,mpnn,49,0.6000000000000001
crippen,GradCAM-all,mpnn,49,0.37142857142857144
crippen,CAM,mpnn,49,0.4666666666666667
crippen,IG,mpnn,49,0.5238095238095238
crippen,Random,gat,42,-0.057416925176321465
crippen,GradInput,gat,42,-0.2761904761904762
crippen,SmoothGrad(GradInput),gat,42,-0.48571428571428577
crippen,GradCAM-last,gat,42,-0.37142857142857144
crippen,GradCAM-all,gat,42,-0.48571428571428577
crippen,IG,gat,42,0.12380952380952381
crippen,CAM,gat,42,0.23809523809523814
crippen,AttWeights,gat,42,0.3142857142857143
crippen,Random,gat,43,0.13527990831890466
crippen,GradInput,gat,43,-0.18095238095238098
crippen,SmoothGrad(GradInput),gat,43,-0.06666666666666668
crippen,GradCAM-last,gat,43,-0.009523809523809525
crippen,GradCAM-all,gat,43,0.009523809523809525
crippen,IG,gat,43,0.33333333333333337
crippen,CAM,gat,43,0.4285714285714286
crippen,AttWeights,gat,43,-0.04761904761904762
crippen,Random,gat,44,0.0
crippen,GradInput,gat,44,-0.4666666666666667
crippen,SmoothGrad(GradInput),gat,44,-0.33333333333333337
crippen,GradCAM-last,gat,44,-0.1619047619047619
crippen,GradCAM-all,gat,44,-0.2761904761904762
crippen,IG,gat,44,0.1619047619047619
crippen,CAM,gat,44,0.37142857142857144
crippen,AttWeights,gat,44,0.3142857142857143
crippen,Random,gat,45,-0.07655590023509529
crippen,GradInput,gat,45,-0.33333333333333337
crippen,SmoothGrad(GradInput),gat,45,-0.3523809523809524
crippen,GradCAM-last,gat,45,0.12380952380952381
crippen,GradCAM-all,gat,45,-0.06666666666666668
crippen,IG,gat,45,0.6380952380952382
crippen,CAM,gat,45,0.5047619047619049
crippen,AttWeights,gat,45,0.3523809523809524
crippen,Random,gat,46,-0.15311180047019057
crippen,GradInput,gat,46,-0.009523809523809525
crippen,SmoothGrad(GradInput),gat,46,0.12380952380952381
crippen,GradCAM-last,gat,46,0.028571428571428574
crippen,GradCAM-all,gat,46,-0.009523809523809525
crippen,IG,gat,46,0.6571428571428571
crippen,CAM,gat,46,0.3904761904761905
crippen,AttWeights,gat,46,0.29523809523809524
crippen,Random,gat,47,-0.3636405261167026
crippen,GradInput,gat,47,0.14285714285714288
crippen,SmoothGrad(GradInput),gat,47,0.14285714285714288
crippen,GradCAM-last,gat,47,0.028571428571428574
crippen,GradCAM-all,gat,47,-0.20000000000000004
crippen,IG,gat,47,0.4476190476190477
crippen,CAM,gat,47,0.6190476190476191
crippen,AttWeights,gat,47,-0.009523809523809525
crippen,Random,gat,48,0.40191847623425025
crippen,GradInput,gat,48,-0.009523809523809525
crippen,SmoothGrad(GradInput),gat,48,0.009523809523809525
crippen,GradCAM-last,gat,48,0.3142857142857143
crippen,GradCAM-all,gat,48,0.10476190476190476
crippen,IG,gat,48,0.40952380952380957
crippen,CAM,gat,48,0.7142857142857143
crippen,AttWeights,gat,48,0.2571428571428572
crippen,Random,gat,49,0.0773028047536598
crippen,GradInput,gat,49,-0.06666666666666668
crippen,SmoothGrad(GradInput),gat,49,-0.2571428571428572
crippen,GradCAM-last,gat,49,-0.14285714285714288
crippen,GradCAM-all,gat,49,-0.06666666666666668
crippen,IG,gat,49,0.5428571428571429
crippen,CAM,gat,49,0.2571428571428572
crippen,AttWeights,gat,49,-0.08571428571428572
